State/UTs,Total Vaccination Doses,Dose 1,Dose 2,Population
Andaman and Nicobar,603110,305835,297275,399001
Andhra Pradesh,72479031,40175306,32303725,91702478
Arunachal Pradesh,1482168,820568,661600,1711947
Assam,38838917,22079443,16759474,35998752
Bihar,103155455,59092791,44062664,128500364
Chandigarh,1871512,1051497,820015,1158040
Chhattisgarh,30948640,18095004,12853636,32199722
Dadra and Nagar Haveli and Daman and Diu,1263479,714504,548975,773997
Delhi,27609057,15812932,11796125,19301096
Goa,2458346,1326379,1131967,1521992
Gujarat,91772429,47927183,43845246,70400153
Haryana,36721853,21088043,15633810,28900667
Himachal Pradesh,11475809,5953154,5522655,7503010
Jammu and Kashmir,19255748,9782176,9473572,14999397
Jharkhand,31435647,19410037,12025610,40100376
Karnataka,88809501,48569427,40240074,69599762
Kerala,48321820,26529817,21792003,34698876
Ladakh,393086,216602,176484,290492
Lakshadweep,109731,56425,53306,66001
Madhya Pradesh,103673772,53001103,50672669,85002417
Maharashtra,139094636,81924813,57169823,124904071
Manipur,2355665,1341192,1014473,3436948
Meghalaya,2161549,1255564,905985,3772103
Mizoram,1349659,754425,595234,1308967
Nagaland,1356214,769418,586796,2073074
Odisha,52510151,29983492,22526659,47099270
Puducherry,1454409,867795,586614,1646050
Punjab,28134989,17744953,10390036,30501026
Rajasthan,85093359,48149583,36943776,79502477
Sikkim,1018321,532079,486242,658019
Tamil Nadu,87621336,51390162,36231174,83697770
Telangana,49004861,28486502,20518359,38157311
Tripura,4757272,2609427,2147845,4184959
Uttar Pradesh,216527441,134551661,81975780,231502578
Uttarakhand,14620305,7958774,6661531,11700099
West Bengal,110043335,65629414,44413921,100896618
